index,lambda
268,2.442566789017175e-06
269,2.45068607529148e-06
270,2.478192289892482e-06
271,2.4936784322324407e-06
272,2.514246433254773e-06
273,2.538397320523156e-06
274,2.5700998668882296e-06
275,2.577952944073968e-06
276,2.6000248280550905e-06
277,2.6253562689667438e-06
278,2.6445247435800112e-06
279,2.68199917660681e-06
280,2.7064304625816205e-06
281,2.712071249730234e-06
282,2.733189441973732e-06
283,2.7749194659316237e-06
284,2.7778355708248415e-06
285,2.7891499576311606e-06
286,2.8203772849460184e-06
287,2.8284280798088587e-06
288,2.8513292334807015e-06
289,2.8627674620709363e-06
290,2.8793862102994465e-06
291,2.8946348802016723e-06
292,2.910876375635151e-06
293,2.933716920691115e-06
294,2.9485128380740095e-06
295,2.956142712666259e-06
296,2.9782708560549005e-06
297,2.994126487811418e-06
298,3.0288601138148287e-06
299,3.0585842696120574e-06
300,3.0833696252118444e-06
301,3.099980892295587e-06
302,3.1105971811507598e-06
303,3.1478523716638143e-06
304,3.156984957200884e-06
305,3.1937116451938564e-06
306,3.2105087363956672e-06
307,3.23414856369908e-06
308,3.249083337564451e-06
309,3.2738095257851454e-06
310,3.2858537990733115e-06
311,3.316315826959866e-06
312,3.3330782868980744e-06
313,3.3576123032885334e-06
314,3.3651633001182135e-06
315,3.4009052273625673e-06
316,3.4025662514241165e-06
317,3.4422194397196377e-06
318,3.458667054493335e-06
319,3.501558265604143e-06
320,3.5022874645259212e-06
321,3.532963554023295e-06
322,3.5545762521823887e-06
323,3.5744672570767953e-06
324,3.6079638722214494e-06
325,3.6353569728399007e-06
326,3.6564727050274308e-06
327,3.669544336169609e-06
328,3.682191014284041e-06
329,3.7257805454557986e-06
330,3.7341056320966643e-06
331,3.7442621425141524e-06
332,3.7557479403557616e-06
333,3.769655344981326e-06
334,3.8253498152908826e-06
335,3.8345361711146505e-06
336,3.8550280849959246e-06
337,3.876072646947734e-06
338,3.90879415641838e-06
339,3.920293469490775e-06
340,3.945172840432643e-06
341,3.969639195358071e-06
342,4.020746083873134e-06
343,4.04167152112897e-06
344,4.059164843105031e-06
345,4.075403234019545e-06
346,4.109152461861398e-06
347,4.132492814632885e-06
348,4.169876530135558e-06
349,4.172585071150867e-06
350,4.182418927297053e-06
351,4.2154200873655456e-06
352,4.232803791784243e-06
353,4.249955963321943e-06
354,4.263389761730229e-06
355,4.3171901870143725e-06
356,4.335771626721238e-06
357,4.354940813744548e-06
358,4.361330498778787e-06
359,4.388450677122688e-06
360,4.409570697518404e-06
361,4.465009299256819e-06
362,4.495023356064926e-06
363,4.521883693643787e-06
364,4.541653407309251e-06
365,4.595260491497654e-06
366,4.613739509701366e-06
367,4.625154453882075e-06
368,4.652007418451346e-06
369,4.681229264495062e-06
370,4.698401234117585e-06
371,4.713371231081082e-06
372,4.737639312528372e-06
373,4.753883359681093e-06
374,4.782600449432983e-06
375,4.787899231082434e-06
376,4.816058066196409e-06
377,4.827419908454717e-06
378,4.876436175116136e-06
379,4.901701428917133e-06
380,4.954515563663787e-06
381,4.976534457324931e-06
382,4.993869525815247e-06
383,5.01980764158786e-06
384,5.031991617849119e-06
385,5.03990725686747e-06
386,5.074559014936967e-06
387,5.11295464355551e-06
388,5.161738830414488e-06
389,5.176039598947574e-06
390,5.189895444584151e-06
391,5.2193949179154085e-06
392,5.26041787836555e-06
393,5.279920693156726e-06
394,5.323609853646883e-06
395,5.357677296505884e-06
396,5.395377368140268e-06
397,5.4386400470456585e-06
398,5.445976078267918e-06
399,5.466078428891641e-06
400,5.4880106119116474e-06
401,5.517477987663035e-06
402,5.5496903678635695e-06
403,5.569781284918988e-06
404,5.6099550842319386e-06
405,5.640722069383137e-06
406,5.671557984671522e-06
407,5.676301175253302e-06
408,5.7268791698169534e-06
409,5.7404679044813925e-06
410,5.773920998049337e-06
411,5.800377309810082e-06
412,5.815848513535581e-06
413,5.845586863401395e-06
414,5.870030450446223e-06
415,5.881538039556203e-06
416,5.922139306536723e-06
417,5.9562629154744235e-06
418,5.967774523679422e-06
419,5.999725471922639e-06
420,6.025501846518298e-06
421,6.055020694850412e-06
422,6.124951392873913e-06
423,6.137884597973462e-06
424,6.1609274538396165e-06
425,6.167812919679213e-06
426,6.265316336705164e-06
427,6.3052118487929905e-06
428,6.3190729127852175e-06
429,6.3526670972316344e-06
430,6.362787553824418e-06
431,6.37298323806031e-06
432,6.434026917507997e-06
433,6.452674036147223e-06
434,6.4787643316955115e-06
435,6.484363835137945e-06
436,6.507241014036866e-06
437,6.559769239067337e-06
438,6.584937719938042e-06
439,6.626307383440571e-06
440,6.644663784098513e-06
441,6.687817404448712e-06
442,6.7061679437763766e-06
443,6.725077020021984e-06
444,6.749071453998995e-06
445,6.767888141678817e-06
446,6.842486588963481e-06
447,6.862428094710677e-06
448,6.893909104749282e-06
449,6.914675543409624e-06
450,6.921422532713141e-06
451,6.991562701189745e-06
452,7.023475496127024e-06
453,7.0406626557399e-06
454,7.077451019604072e-06
455,7.094204255995113e-06
456,7.109911566516358e-06
457,7.136785066050674e-06
458,7.1769299653132345e-06
459,7.214662256336235e-06
460,7.255631196491341e-06
461,7.29584751702775e-06
462,7.334594355513382e-06
463,7.336962596202313e-06
464,7.424126845428696e-06
465,7.43730750554116e-06
466,7.44773264088905e-06
467,7.487675216209188e-06
468,7.4910447563485025e-06
469,7.550199083561104e-06
470,7.578253528034198e-06
471,7.617932034743319e-06
472,7.655183666521726e-06
473,7.689141938822617e-06
474,7.729004635672504e-06
475,7.759085850276396e-06
476,7.786518820615704e-06
477,7.818092654946716e-06
478,7.828661395561122e-06
479,7.842026843924926e-06
480,7.878609577052524e-06
481,7.907479690541961e-06
482,7.92358356625457e-06
483,7.970501399158944e-06
484,7.990833480512772e-06
485,8.010142812285258e-06
486,8.036800702931974e-06
487,8.098778383642432e-06
488,8.128947142443618e-06
489,8.17636057529935e-06
490,8.219043192528227e-06
491,8.248264866091673e-06
492,8.29259170878192e-06
493,8.324042947958056e-06
494,8.363762678574539e-06
495,8.37633838762047e-06
496,8.425397959665082e-06
497,8.42923372106349e-06
498,8.472041521718829e-06
499,8.497004994266909e-06
500,8.569552096193385e-06
501,8.601782418396295e-06
502,8.6308295686942e-06
503,8.672860481115929e-06
504,8.683592045777014e-06
505,8.736167781061025e-06
506,8.743319336792853e-06
507,8.807137173566616e-06
508,8.844763605556034e-06
509,8.867332744070514e-06
510,8.900155178666625e-06
511,8.918758801318954e-06
512,8.96592997257924e-06
513,8.98188519151364e-06
514,9.041162605098618e-06
515,9.0600018643085e-06
516,9.073521648563807e-06
517,9.10035356294208e-06
518,9.172862819544784e-06
519,9.184334466163943e-06
520,9.232255078050037e-06
521,9.263107227220734e-06
522,9.277028265276378e-06
523,9.353831272927075e-06
524,9.417193505348936e-06
525,9.435160277902665e-06
526,9.480303717798028e-06
527,9.53464205083626e-06
528,9.552919301022477e-06
529,9.60146557873325e-06
530,9.652564640455035e-06
531,9.6937077367832e-06
532,9.714917371488607e-06
533,9.723652112329923e-06
534,9.769068048730995e-06
535,9.84348311373316e-06
536,9.880933829083256e-06
537,9.944820040658008e-06
538,9.951840046638604e-06
539,9.993413123414788e-06
540,1.0015866261236481e-05
541,1.002815649133087e-05
542,1.0072471256845973e-05
543,1.0087645695400222e-05
544,1.0108201512142953e-05
545,1.0194318521474644e-05
546,1.0223486952666717e-05
547,1.023827729064841e-05
548,1.0267890396771171e-05
549,1.0300228074720344e-05
550,1.0320161154150044e-05
551,1.035271946107249e-05
552,1.0420317123922335e-05
553,1.0456797833484479e-05
554,1.048034794413669e-05
555,1.0532253576343749e-05
556,1.0570076708086366e-05
557,1.0604247553508676e-05
558,1.062197015980364e-05
559,1.0635990380254686e-05
560,1.0700367294846002e-05
561,1.0735653791629148e-05
562,1.0815492612866078e-05
563,1.0830742216582628e-05
564,1.0871738515761714e-05
565,1.0955397388355167e-05
566,1.0961692117311214e-05
567,1.1020157052393264e-05
568,1.103487685118233e-05
569,1.1061995093192176e-05
570,1.1081423569963362e-05
571,1.1164065738376689e-05
572,1.1200159563849888e-05
573,1.1200686702286297e-05
574,1.1272227269452321e-05
575,1.1334867370081561e-05
576,1.1371185799803347e-05
577,1.1420244442352359e-05
578,1.1459347839983503e-05
579,1.1505506156189826e-05
580,1.1525121039126674e-05
581,1.1570583336777617e-05
582,1.160456907940882e-05
583,1.1659427740587287e-05
584,1.1694730227732559e-05
585,1.1727564955601035e-05
586,1.1763226059645786e-05
587,1.181606027463605e-05
588,1.1851771492514605e-05
589,1.1913596564474148e-05
590,1.1953570776507859e-05
591,1.1989412657148339e-05
592,1.2039269965173988e-05
593,1.209608181072462e-05
594,1.2120913868459357e-05
595,1.215275194902446e-05
596,1.2164965209067508e-05
597,1.2242589013887822e-05
598,1.2269843812985514e-05
599,1.2304193228544958e-05
600,1.2352043505457739e-05
601,1.2399397485275886e-05
602,1.2468493486503207e-05
603,1.2509728264199906e-05
604,1.254616394397314e-05
605,1.2587441574356736e-05
606,1.2607699959328406e-05
607,1.2684968910765765e-05
608,1.2705036416164371e-05
609,1.2761123712398773e-05
610,1.2808505888674766e-05
611,1.2873765923139237e-05
612,1.2892051118844917e-05
613,1.2897918223404579e-05
614,1.294447467560672e-05
615,1.2997524872254732e-05
616,1.3040015009250465e-05
617,1.3050829042700616e-05
618,1.3101929697038927e-05
619,1.3130704046401466e-05
620,1.3165167567781086e-05
621,1.3191408090440705e-05
622,1.3229129977383064e-05
623,1.3313841981686308e-05
624,1.3351845396852794e-05
625,1.342428839161325e-05
626,1.3472727862079984e-05
627,1.3509586375037553e-05
628,1.3562599726805875e-05
629,1.3604458096685096e-05
630,1.3624217845149462e-05
631,1.3644618097375027e-05
632,1.369496267446289e-05
633,1.3784020583758634e-05
634,1.381474373319132e-05
635,1.3855935235156156e-05
636,1.3886051505313527e-05
637,1.3899029709568805e-05
638,1.3945498836347237e-05
639,1.3997144423532993e-05
640,1.4018900641421409e-05
641,1.4065539558962171e-05
642,1.4081471188687607e-05
643,1.4114409066167677e-05
644,1.417265111154638e-05
645,1.4270668187907323e-05
646,1.4281842872275806e-05
647,1.4327372051690031e-05
648,1.4364146740853179e-05
649,1.4442600064489576e-05
650,1.4503945220155403e-05
651,1.453423187024148e-05
652,1.4567246509506997e-05
653,1.461420947626804e-05
654,1.4620852546302723e-05
655,1.4674427083334061e-05
656,1.4716970999270365e-05
657,1.4755416137494836e-05
658,1.4838185663148e-05
659,1.4867151337716335e-05
660,1.4917277099237144e-05
661,1.494799635958828e-05
662,1.4966466879646011e-05
663,1.506624113755687e-05
664,1.5132388771135061e-05
665,1.520743678250073e-05
666,1.5224167390078898e-05
667,1.5312478598625244e-05
668,1.535730552604105e-05
669,1.537647439746138e-05
670,1.5432390594544437e-05
671,1.5495647910208147e-05
672,1.5521159379669936e-05
673,1.5523660522942908e-05
674,1.5574246263704108e-05
675,1.5628778385623386e-05
676,1.571790374561764e-05
677,1.5776493475360455e-05
678,1.5800131382228997e-05
679,1.5832572775450845e-05
680,1.587833215993655e-05
681,1.5960304850779487e-05
682,1.599518338538624e-05
683,1.6034200716042253e-05
684,1.6110194514513424e-05
685,1.6127940053688687e-05
686,1.6140214750241947e-05
687,1.6187242896807315e-05
688,1.6233091684391997e-05
689,1.627594141786423e-05
690,1.630283652015355e-05
691,1.6402796925479617e-05
692,1.6450288681623826e-05
693,1.6519387741204333e-05
694,1.6555821236725125e-05
695,1.659658092562304e-05
696,1.6653047443194784e-05
697,1.6668163343236225e-05
698,1.670460911147548e-05
699,1.6762148924842994e-05
700,1.6863176960668366e-05
701,1.688876401819883e-05
702,1.6913721635014656e-05
703,1.6981853239516996e-05
704,1.6999971356824407e-05
705,1.707458425482045e-05
706,1.7107709705169975e-05
707,1.7179348626865616e-05
708,1.7194162982373188e-05
709,1.7323772221913276e-05
710,1.735907104616341e-05
711,1.739787133257351e-05
712,1.740040464043551e-05
713,1.745665220953051e-05
714,1.7486522866370407e-05
715,1.753184348749714e-05
716,1.753281581563206e-05
717,1.7618304373035968e-05
718,1.7691297593144037e-05
719,1.7710126267593313e-05
720,1.7765603132257554e-05
721,1.7875022420598595e-05
722,1.7916629395060632e-05
723,1.79556429701429e-05
724,1.804197543400087e-05
725,1.8104604073250495e-05
726,1.814186692387837e-05
727,1.8201944033446058e-05
728,1.8232453801205148e-05
729,1.8321767030354955e-05
730,1.8357177769135615e-05
731,1.838155730943463e-05
732,1.84647593615421e-05
733,1.8516389348925174e-05
734,1.8528244220392867e-05
735,1.8596151055315394e-05
736,1.860084539578369e-05
737,1.8683130559106438e-05
738,1.872239025927443e-05
739,1.8791073508447024e-05
740,1.8834275374942165e-05
741,1.8882386578009766e-05
742,1.89608780149118e-05
743,1.9009179042935683e-05
744,1.9036620112657084e-05
745,1.9050348466218905e-05
746,1.911607578819436e-05
747,1.9168252880910165e-05
748,1.9189959025882e-05
749,1.9286375202745664e-05
750,1.9299205879639762e-05
751,1.9373443167525652e-05
752,1.9393898298568243e-05
753,1.9444566127155424e-05
754,1.950635836573681e-05
755,1.954011916674886e-05
756,1.9594293780902145e-05
757,1.9662855651452936e-05
758,1.9714153688148574e-05
759,1.979983220322889e-05
760,1.982970387306949e-05
761,1.9921306697857216e-05
762,1.9979469110183942e-05
763,2.0019796632645022e-05
764,2.004936416035906e-05
765,2.011099567559983e-05
766,2.0208287406175025e-05
767,2.0282872497770233e-05
768,2.0330735672597266e-05
769,2.035339905413156e-05
770,2.042938720343535e-05
771,2.04821850399128e-05
772,2.052982233952722e-05
773,2.05608324335642e-05
774,2.060111786996213e-05
775,2.0656275863937542e-05
776,2.0681059790599677e-05
777,2.074350433223007e-05
778,2.0806521093925904e-05
779,2.084807384982002e-05
780,2.0917520141013085e-05
781,2.0971641416180043e-05
782,2.098951803510113e-05
783,2.113332441354729e-05
784,2.1150568133145583e-05
785,2.119572712771453e-05
786,2.1283296153401515e-05
787,2.1328049324419355e-05
788,2.1359468473871783e-05
789,2.139734097330498e-05
790,2.14289018694348e-05
791,2.1466108163725976e-05
792,2.1591562412202574e-05
793,2.161385859293779e-05
794,2.1696085774243743e-05
795,2.1712756649232234e-05
796,2.1758201734185598e-05
797,2.1808074663884516e-05
798,2.1901679198518146e-05
799,2.194518545532098e-05
800,2.1971512774459185e-05
801,2.2043018695867217e-05
802,2.2095441850285294e-05
803,2.2134796835558923e-05
804,2.2208056839826253e-05
805,2.2219359746852935e-05
806,2.2312507275126895e-05
807,2.2391555121218114e-05
808,2.240892495365343e-05
809,2.2464398157334038e-05
810,2.251716771916421e-05
811,2.255683224513051e-05
812,2.2687711081505698e-05
813,2.2725311101161468e-05
814,2.2731210372302687e-05
815,2.278748911044022e-05
816,2.2840563814825707e-05
817,2.2887630465554352e-05
818,2.3051484173552193e-05
819,2.3072323987647673e-05
820,2.314799046828129e-05
821,2.323864079290767e-05
822,2.3281396294980013e-05
823,2.3318203858129765e-05
824,2.3410586960771828e-05
825,2.3440009891263114e-05
826,2.3495620163683195e-05
827,2.3536165282640916e-05
828,2.360427898500974e-05
829,2.363839696603868e-05
830,2.3720944742607807e-05
831,2.3814257616120926e-05
832,2.387064485716629e-05
833,2.389327244073291e-05
834,2.3933685128057087e-05
835,2.39845972784813e-05
836,2.4083747370265362e-05
837,2.410656708398524e-05
838,2.423600227991613e-05
839,2.426132150575742e-05
840,2.4302232843730955e-05
841,2.4376991580645814e-05
842,2.44257087465298e-05
843,2.445361503958009e-05
844,2.4545156609854716e-05
845,2.45994897890769e-05
846,2.4643889291025836e-05
847,2.4753847396655526e-05
848,2.4783803159680784e-05
849,2.483900650933243e-05
850,2.493061879483002e-05
851,2.4964564532616472e-05
852,2.5007407213509836e-05
853,2.506569115065481e-05
854,2.51043367498225e-05
855,2.51192490821276e-05
856,2.52236870438383e-05
857,2.5301237701271203e-05
858,2.5343049070675174e-05
859,2.5396372423984337e-05
860,2.5457232878553146e-05
861,2.5602583572044627e-05
862,2.567317036503933e-05
863,2.570169427018439e-05
864,2.5736800774052938e-05
865,2.5790259177903415e-05
866,2.5845235597461422e-05
867,2.5869300027290327e-05
868,2.596531680239703e-05
869,2.598549647138971e-05
870,2.606211222999241e-05
871,2.614355536939096e-05
872,2.6192721988103664e-05
873,2.6208564668605762e-05
874,2.633446864938253e-05
875,2.6377747178269067e-05
876,2.644257958077931e-05
877,2.6537301417108778e-05
878,2.657773879364507e-05
879,2.6659060939639497e-05
880,2.6728255995944114e-05
881,2.6765686345331594e-05
882,2.687137305231604e-05
883,2.6887248771313057e-05
884,2.6908266790262504e-05
885,2.6950472498241458e-05
886,2.7049905712276616e-05
887,2.7075940830972083e-05
888,2.715424770633261e-05
889,2.717470027232378e-05
890,2.723918947313445e-05
891,2.7328903589844732e-05
892,2.739352094531455e-05
893,2.747079098006951e-05
894,2.7535924448947002e-05
895,2.760116186803882e-05
896,2.7629887255221424e-05
897,2.7750498632995995e-05
898,2.7785360171553154e-05
899,2.783649434316821e-05
900,2.7906359152610575e-05
901,2.804803820607807e-05
902,2.806090921791762e-05
903,2.8137800434902643e-05
904,2.8300157284721187e-05
905,2.834470599658655e-05
906,2.8407243766079114e-05
907,2.8479900113091277e-05
908,2.850023166821724e-05
909,2.860420805037599e-05
910,2.866441289796347e-05
911,2.8756166247422913e-05
912,2.8773644751607024e-05
913,2.8858685011329436e-05
914,2.8886314311298692e-05
915,2.892352330673093e-05
916,2.896463364963154e-05
917,2.9035687880827913e-05
918,2.9156137725338756e-05
919,2.92526833201674e-05
920,2.928594807586141e-05
921,2.9309285741821843e-05
922,2.941940200334931e-05
923,2.9463048231640804e-05
924,2.948740841990929e-05
925,2.9556745513425e-05
926,2.957092241535151e-05
927,2.962929092024831e-05
928,2.9738205101798208e-05
929,2.9868458795793087e-05
930,2.9904709873913466e-05
931,2.9921376568917654e-05
932,2.9987701221179625e-05
933,3.0054647681229142e-05
934,3.0162618617894906e-05
935,3.0270306863457564e-05
936,3.0286016910765585e-05
937,3.0354118493235705e-05
938,3.0403502196341583e-05
939,3.0429449429227008e-05
940,3.0438048732115645e-05
941,3.053913396860818e-05
942,3.0638706431109655e-05
943,3.072768769814269e-05
944,3.081444182465108e-05
945,3.08627639629806e-05
946,3.0873845129104415e-05
947,3.09614538703187e-05
948,3.106007516317838e-05
949,3.1094764254232955e-05
950,3.115593333091693e-05
951,3.125841197884276e-05
952,3.129769174692364e-05
953,3.1431937551459195e-05
954,3.147005985488967e-05
955,3.156700612263568e-05
956,3.160589915537726e-05
957,3.167624404307979e-05
958,3.176065371960338e-05
959,3.179077046316514e-05
960,3.1902620398340665e-05
961,3.192882640154968e-05
962,3.193754601618118e-05
963,3.213210866982276e-05
964,3.2159172925202066e-05
965,3.228538213583113e-05
966,3.233748076145084e-05
967,3.239083910181187e-05
968,3.2396871190882475e-05
969,3.250560583339535e-05
970,3.2585087651337564e-05
971,3.26956243738054e-05
972,3.274509893058628e-05
973,3.2818712580276445e-05
974,3.285930330926596e-05
975,3.290079818464574e-05
976,3.2973033204635206e-05
977,3.3064429112396584e-05
978,3.313262936140121e-05
979,3.322279967915789e-05
980,3.3246820836231166e-05
981,3.330313811474507e-05
982,3.342345653314308e-05
983,3.343242124616786e-05
984,3.347443870849967e-05
985,3.3578545492301004e-05
986,3.373540802322558e-05
987,3.3752454494352545e-05
988,3.379958892387334e-05
989,3.3865279206154794e-05
990,3.40226331262814e-05
991,3.407591389462275e-05
992,3.414835202486112e-05
993,3.4158238741692194e-05
994,3.422928161418361e-05
995,3.43225047703192e-05
996,3.4347655214957053e-05
997,3.4406859017033445e-05
998,3.455257755583249e-05
999,3.459740207755739e-05
1000,3.4700342525888366e-05
1001,3.470388973167973e-05
1002,3.480951928514943e-05
1003,3.489661603155064e-05
1004,3.493550558180009e-05
1005,3.495604875608605e-05
1006,3.501309840778517e-05
1007,3.5083802220299924e-05
1008,3.5129276432515525e-05
1009,3.521362746493561e-05
1010,3.5302414614607284e-05
1011,3.541098072985663e-05
1012,3.546849796813791e-05
1013,3.549063832587e-05
1014,3.5601745436835936e-05
1015,3.5655457193875596e-05
1016,3.5770074862537805e-05
1017,3.584870217252683e-05
1018,3.587375154389003e-05
1019,3.594569479574994e-05
1020,3.602018802555636e-05
1021,3.607191309059567e-05
1022,3.615827162583845e-05
1023,3.6251528961750346e-05
1024,3.631274442068532e-05
1025,3.6335139066175815e-05
1026,3.65279620197883e-05
1027,3.6553470060825334e-05
1028,3.668620253833788e-05
1029,3.6709672493436335e-05
1030,3.6792439308861766e-05
1031,3.691115242201247e-05
1032,3.692529033124059e-05
1033,3.695238277583928e-05
1034,3.706541008111155e-05
